Violation_ID,Frame_Number,Timestamp_Sec,Violation_Type,Rider_Confidence,Plate_Detected,Plate_Text,Plate_Confidence,Plate_Crop_Path,Rider_BBox,Plate_BBox
81,129,2.15,No_helmet,0.73,Yes,N/A,0.51,../results/plate_crops/frame000129_v0_plate.jpg,"[204.37130737304688, 129.85020446777344, 243.9483184814453, 172.69447326660156]","[240.11782836914062, 287.5686950683594, 282.1558837890625, 328.8368225097656]"
82,130,2.17,No_helmet,0.76,Yes,N/A,0.51,../results/plate_crops/frame000130_v0_plate.jpg,"[203.7373504638672, 131.16586303710938, 241.13665771484375, 172.4125518798828]","[237.63308715820312, 286.26312255859375, 280.27325439453125, 325.005859375]"
83,131,2.18,No_helmet,0.81,Yes,N/A,0.48,../results/plate_crops/frame000131_v0_plate.jpg,"[202.02847290039062, 131.8940887451172, 237.4027557373047, 172.2548370361328]","[236.82009887695312, 285.5064697265625, 277.17413330078125, 323.0387268066406]"
84,131,2.18,No_helmet,0.30,No,N/A,,,"[571.8204345703125, 123.79302215576172, 585.038330078125, 139.07374572753906]",
85,132,2.20,No_helmet,0.80,Yes,N/A,0.46,../results/plate_crops/frame000132_v0_plate.jpg,"[202.05418395996094, 132.1474151611328, 236.78460693359375, 171.80227661132812]","[234.36231994628906, 284.74859619140625, 276.0240478515625, 322.9205017089844]"
86,133,2.22,No_helmet,0.75,Yes,N/A,0.47,../results/plate_crops/frame000133_v0_plate.jpg,"[200.27723693847656, 132.4534912109375, 234.52853393554688, 171.0595703125]","[233.139404296875, 281.4658508300781, 272.1617736816406, 321.697998046875]"
87,134,2.23,No_helmet,0.74,Yes,N/A,0.48,../results/plate_crops/frame000134_v0_plate.jpg,"[199.85186767578125, 133.19757080078125, 232.9500274658203, 172.4457244873047]","[230.58926391601562, 279.39044189453125, 270.09356689453125, 319.7798156738281]"
88,135,2.25,No_helmet,0.73,Yes,N/A,0.47,../results/plate_crops/frame000135_v0_plate.jpg,"[196.93313598632812, 133.74151611328125, 231.53614807128906, 171.8740692138672]","[229.2794647216797, 279.2754211425781, 267.92791748046875, 317.1512756347656]"
89,136,2.27,No_helmet,0.81,Yes,N/A,0.49,../results/plate_crops/frame000136_v0_plate.jpg,"[193.29367065429688, 132.71463012695312, 230.20370483398438, 172.4844512939453]","[227.07130432128906, 278.7760925292969, 267.4055480957031, 316.22802734375]"
90,137,2.28,No_helmet,0.82,Yes,N/A,0.49,../results/plate_crops/frame000137_v0_plate.jpg,"[190.811279296875, 133.08432006835938, 229.8362579345703, 172.8321533203125]","[225.6255645751953, 276.01275634765625, 263.5981750488281, 312.3175048828125]"
91,138,2.30,No_helmet,0.81,Yes,N/A,0.51,../results/plate_crops/frame000138_v0_plate.jpg,"[189.61766052246094, 132.48727416992188, 229.30255126953125, 172.05616760253906]","[223.8119354248047, 275.52911376953125, 259.5067138671875, 310.917236328125]"
